DocumentFieldName,TableColumnName,DelimitedColumnIndex,FwStartPosition,FwEndPosition,FieldLength,DiscardFlag,LookupType,LookupCategory,LookupInputColumn1,LookupInputColumn2,LookupInputColumn3,LookupInputColumn4,LookupOutputColumn,,,
READING_ITEM_CORRECT_RESPONSE_35,Reading Item Correct Response 35,,589,589,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_36,Reading Item Correct Response 36,,590,590,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_37,Reading Item Correct Response 37,,591,591,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_38,Reading Item Correct Response 38,,592,592,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_39,Reading Item Correct Response 39,,593,593,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_40,Reading Item Correct Response 40,,594,594,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_41,Reading Item Correct Response 41,,595,595,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_42,Reading Item Correct Response 42,,596,596,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_43,Reading Item Correct Response 43,,597,597,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_44,Reading Item Correct Response 44,,598,598,1,,,,,,,,,,,
BLANK,Blank,,599,606,8,Y,,,,,,,,,,
LEXILE_MEASURE,Lexile Measure,,607,611,5,,,,,,,,,,,
READING_PERCENTILE,Reading Percentile,,612,614,3,,,,,,,,,,,
BLANK,Blank,,615,750,136,Y,,,,,,,,,,
MATHEMATICS_REPORTING_CATEGORY_SCORES,Mathematics Reporting Category Scores,,751,758,8,,,,,,,,,,,
BLANK,Blank,,759,760,2,Y,,,,,,,,,,
MATHEMATICS_RAW_SCORE,Mathematics Raw Score,,761,762,2,,,,,,,,,,,
MATHEMATICS_SCALE_SCORE,Mathematics Scale Score,,763,766,4,,,,,,,,,,,
MATHEMATICS_LANGUAGE_VERSION,Mathematics Language Version,,767,767,1,,,,,,,,,,,
,Mathematics Language Version Desc,,,,7,,ExactCodeLookup,LanguageVersion,Mathematics Language Version,,,,OutputValue1,,,
MATHEMATICS_TEST_VERSION,Mathematics Test Version,,768,768,1,,,,,,,,,,,
,Mathematics Test Version Desc,,,,5,,ExactCodeLookup,TestVersion,Mathematics Test Version,,,,OutputValue1,,,
MATHEMATICS_TEST_ADMINISTRATION_MODE,Mathematics Test Administration Mode,,769,769,1,,,,,,,,,,,
,Mathematics Test Administration Mode Desc,,,,26,,ExactCodeLookup,TestAdministrationMode,Mathematics Test Administration Mode,,,,OutputValue1,,,
BLANK,Blank,,770,776,7,Y,,,,,,,,,,
MEETS_GRADE_LEVEL_IN_MATHEMATICS,Meets Grade Level in Mathematics,,777,777,1,,,,,,,,,,,
APPROACHES_GRADE_LEVEL_IN_MATHEMATICS,Aproaches Grade Level in Mathematics,,778,778,1,,,,,,,,,,,
MASTERS_GRADE_LEVEL_IN_MATHEMATICS,Masters Grade Level in Mathematics,,779,779,1,,,,,,,,,,,
,Mathematics Proficency Level ,,,,12,,ExactCodeLookup,ProfLevelAlgorithm,Meets Grade Level in Mathematics,Aproaches Grade Level in Mathematics,Masters Grade Level in Mathematics,,OutputValue1,,,
,Mathematics Proficency Level Color,,,,5,,ExactCodeLookup,ProfLevelAlgorithm,Meets Grade Level in Mathematics,Aproaches Grade Level in Mathematics,Masters Grade Level in Mathematics,,OutputValue2,,,
MATHEMATICS_STAAR_PROGRESS_MEASURE,Mathematics STAAR Progress Measure,,780,780,1,,,,,,,,,,,
,Mathematics STAAR Progress Measure Desc,,,,11,,ExactCodeLookup,STAARProgressMeasure,Mathematics STAAR Progress Measure,,,,OutputValue1,,,
BLANK,Blank,,781,781,1,Y,,,,,,,,,,
MATHEMATICS_ON_TRACK_TO_MEET_GRADE_LEVEL,Mathematics On Track To Meet Grade Level,,782,782,1,,,,,,,,,,,
MATHEMATICS_PREV_YR_ADMINISTRATION_DATE_,Mathematics Previous Year Administration Date,,783,786,4,,,,,,,,,,,
MATHEMATICS_PREV_YR_SCALE_SCORE,Mathematics Previous Year Scale Score,,787,790,4,,,,,,,,,,,
MATHEMATICS_PREV_YR_LANGUAGE_VERSION,Mathematics Previous Year Language Version,,791,791,1,,,,,,,,,,,
,Mathematics Previous Year Language Version Desc,,,,7,,ExactCodeLookup,LanguageVersion,Mathematics Previous Year Language Version,,,,OutputValue1,,,
BLANK,Blank,,792,792,1,Y,,,,,,,,,,
MATHEMATICS_PREV_YR_SCORE_CODE,Mathematics Previous Year Score Code,,793,793,1,,,,,,,,,,,
,Mathematics Previous Year Score Code Desc,,,,136,,ExactCodeLookup,ScoreCodeInformation,Mathematics Previous Year Score Code,,,,OutputValue1,,,
BLANK,Blank,,794,794,1,Y,,,,,,,,,,
MATHEMATICS_PREV_YR_MASTERS_GRADE_LEVEL,Mathematics Previous Year Masters Grade Level,,795,795,1,,,,,,,,,,,
MATHEMATICS_PREV_YR_TESTED_GRADE,Mathematics Previous Year Tested Grade,,796,797,2,,,,,,,,,,,
BLANK,Blank,,798,800,3,Y,,,,,,,,,,
MATHEMATICS_ITEM_REPORTING_CATEGORY_NUMBERS,Mathematics Item Reporting Category Numbers,,801,842,42,,,,,,,,,,,
BLANK,Blank,,843,856,14,Y,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_1,Mathematics Item Student Response 1,,857,857,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_2,Mathematics Item Student Response 2,,858,858,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_3,Mathematics Item Student Response 3,,859,859,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_4,Mathematics Item Student Response 4,,860,860,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_5,Mathematics Item Student Response 5,,861,861,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_6,Mathematics Item Student Response 6,,862,862,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_7,Mathematics Item Student Response 7,,863,863,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_8,Mathematics Item Student Response 8,,864,864,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_9,Mathematics Item Student Response 9,,865,865,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_10,Mathematics Item Student Response 10,,866,866,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_11,Mathematics Item Student Response 11,,867,867,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_12,Mathematics Item Student Response 12,,868,868,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_13,Mathematics Item Student Response 13,,869,869,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_14,Mathematics Item Student Response 14,,870,870,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_15,Mathematics Item Student Response 15,,871,871,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_16,Mathematics Item Student Response 16,,872,872,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_17,Mathematics Item Student Response 17,,873,873,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_18,Mathematics Item Student Response 18,,874,874,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_19,Mathematics Item Student Response 19,,875,875,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_20,Mathematics Item Student Response 20,,876,876,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_21,Mathematics Item Student Response 21,,877,877,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_22,Mathematics Item Student Response 22,,878,878,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_23,Mathematics Item Student Response 23,,879,879,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_24,Mathematics Item Student Response 24,,880,880,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_25,Mathematics Item Student Response 25,,881,881,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_26,Mathematics Item Student Response 26,,882,882,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_27,Mathematics Item Student Response 27,,883,883,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_28,Mathematics Item Student Response 28,,884,884,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_29,Mathematics Item Student Response 29,,885,885,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_30,Mathematics Item Student Response 30,,886,886,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_31,Mathematics Item Student Response 31,,887,887,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_32,Mathematics Item Student Response 32,,888,888,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_33,Mathematics Item Student Response 33,,889,889,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_34,Mathematics Item Student Response 34,,890,890,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_35,Mathematics Item Student Response 35,,891,891,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_36,Mathematics Item Student Response 36,,892,892,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_37,Mathematics Item Student Response 37,,893,893,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_38,Mathematics Item Student Response 38,,894,894,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_39,Mathematics Item Student Response 39,,895,895,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_40,Mathematics Item Student Response 40,,896,896,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_41,Mathematics Item Student Response 41,,897,897,1,,,,,,,,,,,
MATHEMATICS_ITEM_STUDENT_RESPONSE_42,Mathematics Item Student Response 42,,898,898,1,,,,,,,,,,,
BLANK,Blank,,899,912,14,Y,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_1,Mathematics Item Correct Response 1,,913,913,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_2,Mathematics Item Correct Response 2,,914,914,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_3,Mathematics Item Correct Response 3,,915,915,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_4,Mathematics Item Correct Response 4,,916,916,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_5,Mathematics Item Correct Response 5,,917,917,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_6,Mathematics Item Correct Response 6,,918,918,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_7,Mathematics Item Correct Response 7,,919,919,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_8,Mathematics Item Correct Response 8,,920,920,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_9,Mathematics Item Correct Response 9,,921,921,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_10,Mathematics Item Correct Response 10,,922,922,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_11,Mathematics Item Correct Response 11,,923,923,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_12,Mathematics Item Correct Response 12,,924,924,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_13,Mathematics Item Correct Response 13,,925,925,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_14,Mathematics Item Correct Response 14,,926,926,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_15,Mathematics Item Correct Response 15,,927,927,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_16,Mathematics Item Correct Response 16,,928,928,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_17,Mathematics Item Correct Response 17,,929,929,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_18,Mathematics Item Correct Response 18,,930,930,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_19,Mathematics Item Correct Response 19,,931,931,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_20,Mathematics Item Correct Response 20,,932,932,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_21,Mathematics Item Correct Response 21,,933,933,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_22,Mathematics Item Correct Response 22,,934,934,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_23,Mathematics Item Correct Response 23,,935,935,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_24,Mathematics Item Correct Response 24,,936,936,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_25,Mathematics Item Correct Response 25,,937,937,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_26,Mathematics Item Correct Response 26,,938,938,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_27,Mathematics Item Correct Response 27,,939,939,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_28,Mathematics Item Correct Response 28,,940,940,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_29,Mathematics Item Correct Response 29,,941,941,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_30,Mathematics Item Correct Response 30,,942,942,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_31,Mathematics Item Correct Response 31,,943,943,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_32,Mathematics Item Correct Response 32,,944,944,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_33,Mathematics Item Correct Response 33,,945,945,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_34,Mathematics Item Correct Response 34,,946,946,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_35,Mathematics Item Correct Response 35,,947,947,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_36,Mathematics Item Correct Response 36,,948,948,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_37,Mathematics Item Correct Response 37,,949,949,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_38,Mathematics Item Correct Response 38,,950,950,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_39,Mathematics Item Correct Response 39,,951,951,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_40,Mathematics Item Correct Response 40,,952,952,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_41,Mathematics Item Correct Response 41,,953,953,1,,,,,,,,,,,
MATHEMATICS_ITEM_CORRECT_RESPONSE_42,Mathematics Item Correct Response 42,,954,954,1,,,,,,,,,,,
BLANK,Blank,,955,968,14,Y,,,,,,,,,,
MATHEMATICS_PERCENTILE,Mathematics Percentile,,969,971,3,,,,,,,,,,,
QUANTILE_MEASURE,Mathematics Quantile Measure,,972,976,5,,,,,,,,,,,
BLANK,Blank,,977,1100,124,Y,,,,,,,,,,
WRITING_REPORTING_CATEGORY_SCORES,Writing Reporting Category Scores,,1101,1106,6,,,,,,,,,,,
WRITING_RAW_SCORE,Writing Raw Score,,1107,1108,2,,,,,,,,,,,
WRITING_SCALE_SCORE,Writing Scale Score,,1109,1112,4,,,,,,,,,,,
WRITING_LANGUAGE_VERSION,Writing Language Version,,1113,1113,1,,,,,,,,,,,
,Writing Language Version Desc,,,,7,,ExactCodeLookup,LanguageVersion,Writing Language Version,,,,OutputValue1,,,
WRITING_TEST_VERSION,Writing Test Version,,1114,1114,1,,,,,,,,,,,
,Writing Test Version Desc,,,,5,,ExactCodeLookup,TestVersion,Writing Test Version,,,,OutputValue1,,,
WRITING_TEST_ADMINISTRATION_MODE,Writing Test Administration Mode,,1115,1115,1,,,,,,,,,,,
,Writing Test Administration Mode Desc,,,,26,,ExactCodeLookup,TestAdministrationMode,Writing Test Administration Mode,,,,OutputValue1,,,
BLANK,Blank,,1116,1122,7,Y,,,,,,,,,,
MEETS_GRADE_LEVEL_IN_WRITING,Meets Grade Level in Writing,,1123,1123,1,,,,,,,,,,,
APPROACHES_GRADE_LEVEL_IN_WRITING,Approaches Grade Level in Writing,,1124,1124,1,,,,,,,,,,,
MASTERS_GRADE_LEVEL_IN_WRITING,Masters Grade Level In Writing,,1125,1125,1,,,,,,,,,,,
,Writing Proficency Level ,,,,12,,ExactCodeLookup,ProfLevelAlgorithm,Meets Grade Level in Writing,Approaches Grade Level in Writing,Masters Grade Level In Writing,,OutputValue1,,,
,Writing Proficency Level Color,,,,5,,ExactCodeLookup,ProfLevelAlgorithm,Meets Grade Level in Writing,Approaches Grade Level in Writing,Masters Grade Level In Writing,,OutputValue2,,,
WRITTEN_COMPOSITION_SCORE,Written Composition Score,,1126,1126,1,,,,,,,,,,,
,Written Composition Score Desc,,,,37,,ExactCodeLookup,CompScore,Written Composition Score,,,,OutputValue1,,,
BLANK,Blank,,1127,1200,74,Y,,,,,,,,,,
WRITING_ITEM_REPORTING_CATEGORY_NUMBERS,Writing Item Reporting Category Numbers,,1201,1230,30,,,,,,,,,,,
BLANK,Blank,,1231,1240,10,Y,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_1,Writing Item Student Response 1,,1241,1241,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_2,Writing Item Student Response 2,,1242,1242,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_3,Writing Item Student Response 3,,1243,1243,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_4,Writing Item Student Response 4,,1244,1244,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_5,Writing Item Student Response 5,,1245,1245,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_6,Writing Item Student Response 6,,1246,1246,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_7,Writing Item Student Response 7,,1247,1247,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_8,Writing Item Student Response 8,,1248,1248,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_9,Writing Item Student Response 9,,1249,1249,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_10,Writing Item Student Response 10,,1250,1250,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_11,Writing Item Student Response 11,,1251,1251,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_12,Writing Item Student Response 12,,1252,1252,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_13,Writing Item Student Response 13,,1253,1253,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_14,Writing Item Student Response 14,,1254,1254,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_15,Writing Item Student Response 15,,1255,1255,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_16,Writing Item Student Response 16,,1256,1256,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_17,Writing Item Student Response 17,,1257,1257,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_18,Writing Item Student Response 18,,1258,1258,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_19,Writing Item Student Response 19,,1259,1259,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_20,Writing Item Student Response 20,,1260,1260,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_21,Writing Item Student Response 21,,1261,1261,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_22,Writing Item Student Response 22,,1262,1262,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_23,Writing Item Student Response 23,,1263,1263,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_24,Writing Item Student Response 24,,1264,1264,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_25,Writing Item Student Response 25,,1265,1265,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_26,Writing Item Student Response 26,,1266,1266,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_27,Writing Item Student Response 27,,1267,1267,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_28,Writing Item Student Response 28,,1268,1268,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_29,Writing Item Student Response 29,,1269,1269,1,,,,,,,,,,,
WRITING_ITEM_STUDENT_RESPONSE_30,Writing Item Student Response 30,,1270,1270,1,,,,,,,,,,,
BLANK,Blank,,1271,1280,10,Y,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_1,Writing Item Correct Response 1,,1281,1281,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_2,Writing Item Correct Response 2,,1282,1282,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_3,Writing Item Correct Response 3,,1283,1283,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_4,Writing Item Correct Response 4,,1284,1284,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_5,Writing Item Correct Response 5,,1285,1285,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_6,Writing Item Correct Response 6,,1286,1286,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_7,Writing Item Correct Response 7,,1287,1287,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_8,Writing Item Correct Response 8,,1288,1288,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_9,Writing Item Correct Response 9,,1289,1289,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_10,Writing Item Correct Response 10,,1290,1290,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_11,Writing Item Correct Response 11,,1291,1291,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_12,Writing Item Correct Response 12,,1292,1292,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_13,Writing Item Correct Response 13,,1293,1293,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_14,Writing Item Correct Response 14,,1294,1294,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_15,Writing Item Correct Response 15,,1295,1295,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_16,Writing Item Correct Response 16,,1296,1296,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_17,Writing Item Correct Response 17,,1297,1297,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_18,Writing Item Correct Response 18,,1298,1298,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_19,Writing Item Correct Response 19,,1299,1299,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_20,Writing Item Correct Response 20,,1300,1300,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_21,Writing Item Correct Response 21,,1301,1301,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_22,Writing Item Correct Response 22,,1302,1302,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_23,Writing Item Correct Response 23,,1303,1303,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_24,Writing Item Correct Response 24,,1304,1304,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_25,Writing Item Correct Response 25,,1305,1305,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_26,Writing Item Correct Response 26,,1306,1306,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_27,Writing Item Correct Response 27,,1307,1307,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_28,Writing Item Correct Response 28,,1308,1308,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_29,Writing Item Correct Response 29,,1309,1309,1,,,,,,,,,,,
WRITING_ITEM_CORRECT_RESPONSE_30,Writing Item Correct Response 30,,1310,1310,1,,,,,,,,,,,
WRITING_PERCENTILE,Writing Percentile,,1311,1313,3,,,,,,,,,,,
BLANK,Blank,,1314,1500,187,Y,,,,,,,,,,
SOCIAL_STUDIES_REPORTING_CATEGORY_SCORES,Social Studies Reporting Category Scores,,1501,1508,8,,,,,,,,,,,
SOCIAL_STUDIES_RAW_SCORE,Social Studies Raw Score,,1509,1510,2,,,,,,,,,,,
SOCIAL_STUDIES_SCALE_SCORE,Social Studies Scale Score,,1511,1514,4,,,,,,,,,,,
SOCIAL_STUDIES_LANGUAGE_VERSION,Social Studies Language Version,,1515,1515,1,,,,,,,,,,,
,Social Studies Language Version Desc,,,,7,,ExactCodeLookup,LanguageVersion,Social Studies Language Version,,,,OutputValue1,,,
SOCIAL_STUDIES_TEST_VERSION,Social Studies Test Version,,1516,1516,1,,,,,,,,,,,
,Social Studies Test Version Desc,,,,5,,ExactCodeLookup,TestVersion,Social Studies Test Version,,,,OutputValue1,,,
SOCIAL_STUDIES_TEST_ADMINISTRATION_MODE,Social Studies Test Administration Mode,,1517,1517,1,,,,,,,,,,,
,Social Studies Test Administration Mode Desc,,,,26,,ExactCodeLookup,TestAdministrationMode,Social Studies Test Administration Mode,,,,OutputValue1,,,
BLANK,Blank,,1518,1524,7,Y,,,,,,,,,,
MEETS_GRADE_LEVEL_IN_SOCIAL_STUDIES,Meets Grade Level in Social Studies,,1525,1525,1,,,,,,,,,,,
APPROACHES_GRADE_LEVEL_IN_SOCIAL_STUDIES,Aproaches Grade Level in Social Studies,,1526,1526,1,,,,,,,,,,,
MASTERS_GRADE_LEVEL_IN_SOCIAL_STUDIES,Masters Grade Level in Social Studies,,1527,1527,1,,,,,,,,,,,
,Social Studies Proficency Level ,,,,12,,ExactCodeLookup,ProfLevelAlgorithm,Meets Grade Level in Social Studies,Aproaches Grade Level in Social Studies,Masters Grade Level in Social Studies,,OutputValue1,,,
,Social Studies Proficency Level Color,,,,5,,ExactCodeLookup,ProfLevelAlgorithm,Meets Grade Level in Social Studies,Aproaches Grade Level in Social Studies,Masters Grade Level in Social Studies,,OutputValue2,,,
BLANK,Blank,,1528,1600,73,Y,,,,,,,,,,
SOCIAL_STUDIES_ITEM_REPORTING_CATEGORY_NUMBERS,Social Studies Item Reporting Category Numbers,,1601,1644,44,,,,,,,,,,,
BLANK,Blank,,1645,1652,8,Y,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_1,Social Studies Item Student Response 1,,1653,1653,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_2,Social Studies Item Student Response 2,,1654,1654,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_3,Social Studies Item Student Response 3,,1655,1655,1,,,,,,,,,,,
